id,messages,result_1,result_2
257,"<a href=""https://t.me/olesar"">@olesar</a>",NEUT,NEUT

258,"Time subdivision <br>Вообще надо было импортировать, но по поводу критичности <a href=""https://t.me/olesar"">@olesar</a>",NEUT,NGTV

259,"извините, а если у меня есть названия фильмов/спектаклей, нужно записывать их в кавычках? если да, то нужно ли считать кавычки отдельными блоками при токенизации?",NEUT,PSTV

260,Нужно ли ставить временные рамки отдельных слов на уровне токенизации?,NEUT,NEUT

261,"Добрый день, метки для токенов править не нужно",NEUT,PSTV

262,Даже если в середине реплики есть длинная пауза на пару секунд?,NEUT,NEUT

263,"Если есть горячее желание, подвиньте, я к тому, что это необязательно",NEUT,PSTV

264,"Нет, кавычки не нужно",NEUT,NEUT

265,то есть можно границы слов оставить как они автоматически расставились?,NEUT,NEUT

266,"Не вижу ничего страшного, что человек потренировался создавать типы с нуля - - в том случае, если это приводит к правильному результату. А так, конечно, импортировать проще",NEUT,PSTV

267,Ага,NEUT,NEUT

268,"Здравствуйте, при автоматической токенизации знак // в конце фразы распадается на два отдельных  слеша, так и должно быть, или это ошибка автоматического разбиения, которую нужно вручную устранить?",NEUT,NGTV

269,"здравствуйте, подскажите, пожалуйста, как создать папку в репозитирии на гитхаб?",PSTV,PSTV

270,"Добрый день <br>гитхаб не умеет держать и создавать пустые папки, тут есть два способа:<br><br>1) через add file - upload files просто перетащить папку (но не пустую, пустая не перетащится) с компа в гитхаб (путем drag and drop)<br>2) через add file - new file в названии файла прописать название папки, после него сразу слэш (типа name/) — так создастся папка, но все равно надо будет создать какой-нибудь новый файл (пустой, например <a href=""readme.md"">readme.md</a>)",NEUT,PSTV

271,"Здравствуйте! У меня elan упорно не хочет видеть многоточие одним знаком препинания, только тремя точками. Насколько это критично?",NEUT,PSTV

272,"Вообще он не должен видеть это знаком препинания и выделять отдельно, ибо многоточия используются для обозначения обрыва слова и оно должно идти вплотную к слову",NEUT,PSTV

273,"оно вплотную, но он продолжает упорно его отделять",NEUT,NEUT

274,А у вас пробелы между точками в многоточии есть?,NEUT,NEUT

275,нет,NEUT,NEUT

276,"попробуйте при токенизации поставить настройки вот так, в поле custom поставить только один пробел",NEUT,NEUT

277,"Спасибо! Вроде, получилось",PSTV,PSTV

278,"здравствуйте! у меня даже после этого он / считает за отдельное слово, это плохо, де?",NEUT,NEUT

279,Слэш как раз и должен быть отдельным токеном (словом),NEUT,NEUT

280,А можно многоточия не использовать?,NEUT,NEUT

281,Я просто их все уже заменила на слэши когда сказали что надо без точек....,NEUT,NEUT

282,"скажите, пожалуйста, а если непонятно, что человек говорит, потому что собеседник громче, писать #нрзб# или #одновременно#?",NEUT,NEUT

283,"Я, возможно, потеряла тред, но мы просили не использовать точки в репликах. Если точку и многоточие не указывать в знаках препинания при токенизации, то &quot;за...&quot;  окажется правильно записанным токеном - оборванной словоформой",NEUT,NGTV

284,При дальнейшем автоматическом анализе мы сможем отличить &quot;за&quot; - предлог и &quot;за...&quot; - обрыв,NEUT,PSTV

285,На ваше усмотрение,NEUT,NEUT

286,спасибо!,NEUT,NEUT

287,Вопрос: как правильно разделять реплики слэшами?,NEUT,NEUT

288,"Возможно, уже спрашивали, но<br>Если человек тянет слово, как это записать? («нууууу», «мооооожет»)",NEUT,NEUT

289,"Единственно правильного ответа на этот вопрос нет, в критерии границ реплик входит долгая пауза, дыхание, интонация, синтаксическая законченность, переключение темы коммуникации и т.д. Критерии могут не соблюдать я и противоречить друг другу, но я считаю, что интуитивно вы можете использовать правило постановки точки на письме. Только здесь вместо точки ставьте // в конце размеченной реплики (см пример в домашке)",NEUT,PSTV

290,А нужно как-то отдельно отмечать вздохи типа *вздох*?,NEUT,NEUT

291,или цоканья перед фразой?,NEUT,NGTV

292,"Нет, не нужно. Вы точно прочитали описание домашки?",NEUT,NEUT

293,"Не нужно, пожалуйста, помечать растянутое произношение. На следующем семинаре вам станет понятно, почему:)",NEUT,NEUT

294,Спасибо большое,NEUT,NEUT

295,"да, прочитал, но не до конца понял",NEUT,PSTV

296,"такой вопрос: у меня мой кусок из интервью занимает 5 минут, но в нем еще есть 2 минуты рекламы, итого 7, я это обнаружил только сейчас, как мне это исправить в таблице в разметке?",NEUT,PSTV

297,а слова по типу «какой-нибудь» писать через дефис или просто раздельно?,NEUT,NEUT

298,Через дефис,NEUT,NEUT

299,спасибо?!),NEUT,NEUT

300,!*,NEUT,NEUT

301,"а вот если человек произнес слова &quot;думаешь, а&quot; ну прям ооочень быстро и нечёткой, и они вообще слышаться как &quot;шмша&quot; и можно догадаться, что это было, только зная контекст, как это записывать?",NEUT,PSTV

302,#нрзб#,NEUT,NEUT

303,аа ок,NEUT,NEUT

304,"и кстати ещё всякие &quot;грит&quot;, &quot;скока&quot; и &quot;чек&quot; (если это не постоянно, а один раз) - прям так, или как полные слова?",NEUT,NEUT

305,"Если это сделано не специально, то как полные слова",NEUT,NEUT

306,При полной сдаче проекта вставите в графу полное время разметки,NEUT,NEUT

307,"а что сделать, если у меня не создается дочерний слой?..",NEUT,PSTV

308,"Варя, добрый вечер, киньте ассистент в личку скриншоты с типами слоев, с набором слоев, опишите проблему, на каком этапе и что происходит. Попробуем помочь.",NEUT,PSTV

309,"хорошо, спасибо!",NEUT,NEUT

310,"добрый вечер! подскажите, пожалуйста, если предложения в интервью у обоих участников очень длинные, лучше разбивать их на несколько реплик, или делать одной?",NEUT,PSTV

311,"Очень длинная реплика - не проблема. Если видите какие-то основания для деления, типа длинной паузы в середине, можно и поделить.",NEUT,PSTV

312,спасибо!,NEUT,NEUT

313,"Не за что/ почти уверена, что если бы у Вас было интервью с уборщицей, таких длинных реплик не было бы:)",NEUT,NEUT

314,"вопрос: мы когда делаем заканчиваем одну реплику, которая заканчивается паузой перед предыдущей, нам нужно последним символом обозначать паузу перед следующей репликой?",NEUT,NEUT

315,"Да, в конце реплики ставьте пробел и //",NEUT,NEUT

316,"Вопрос: нам нужно заливать видосики и звуковую дорожку на GutHub? <a href=""https://t.me/olesar"">@olesar</a>",NEUT,NEUT

317,можете ещё раз пожалуйста повторить<br>на слое words должны быть знаки / и //? и если должны то как сделать так чтобы // не разделялось на два /,NEUT,PSTV

318,"здравствуйте! в инструкции к дз написано &quot;расшифруйте пять минут интервью&quot;<br>достаточно глупый вопрос, но все же: у меня длина отрезка - 6 минут, мне только пять расшифровывать или полностью?",NEUT,NGTV

319,"Пускай // сейчас разделяется на два токена. На следующем семинаре покажу, как сделать из них один",NEUT,NEUT

320,"Добрый вечер, 5 мин - минимум, давайте 6",NEUT,PSTV

321,спасибо!,NEUT,NEUT

322,"а длина разметки влияет как-то на оценку за дз (то есть если разметить 5, то это хуже, чем 6)?",NEUT,NGTV

323,Нет,NEUT,NEUT

324,Главное не меньше 5 и не больше 10,NEUT,NEUT

325,спасибо,NEUT,NEUT

326,"Добрый день группам 203,202 и 204, вот общая ссылка на Зум для тех, кто не сможет прийти сегодня на Басманную, и для тех, кто захочет показать свой экран на семинаре. Join Zoom Meeting<br><br><a href=""https://zoom.us/j/95098407663?pwd=RDJWNUVQTmNOa0NDa1lJOXR5M0"">https://zoom.us/j/95098407663?pwd=RDJWNUVQTmNOa0NDa1lJOXR5M0</a>…<br>Meeting ID: 950 9840 7663<br>Passcode: 401815",NEUT,PSTV

327,"доброе утро! скиньте, пожалуйста, ссылку на зум для группы 204.",NEUT,PSTV

328,"Zoom Meeting<br><br><a href=""https://zoom.us/j/91944081056?pwd=MFB1VDBlbGRCMGdFaEEzcG5KWX"">https://zoom.us/j/91944081056?pwd=MFB1VDBlbGRCMGdFaEEzcG5KWX</a>…<br><br> <br><br>Meeting ID: 919 4408 1056<br><br>Passcode: 866039",NEUT,NEUT

329,"Здравствуйте, у 201 группы сейчас будет дистанционная пара?",NEUT,NEUT

330,"Добрый день, да",NEUT,PSTV

331,"Заходите по ссылке в расписании или здесь выше, (они одинаковые:)",NEUT,NEUT

332,"Ольга Николаевна, какой пароль от конференции?",NEUT,NEUT

333,866039,NEUT,NEUT

334,"Извините, у меня электричество вырубило",NEUT,PSTV

335,"скажите, пожалуйста, а где будет запись семинара? в конце из-за плохого подключения постоянно зависала трансляция",NEUT,NGTV

336,"Извините, а дз загружать в итоге куда?<br>LiveCorpus - отдельный репозиторий (который мы с вами на паре создавали) или <br>LiveCorpus - папка в репо lingdata",NEUT,PSTV

337,"присоединяюсь к вопросу, а то данные стали поступать противоречивые",NEUT,NGTV

338,"блиииин, скорее всего в репозитории лингдата нужно создать папку LiveCorpus, а я загрузила в репозиторий LiveCorpus (ещё до дедлайна), можно я поменяю?",NEUT,PSTV

339,"в изначальных инструкциях был репо лайвкорпус, мы поэтому и написали, чтобы уточнить",NEUT,NEUT

340,"В описании <a href=""https://github.com/olesar/lingdata2020/blob/gh-pages/hw3-elan-speech.md"">третьей домашки</a> написано: <pre>LiveCorpus (капитализация именно такая) - папка в вашем репозитории курса (lingdata), сюда кладем .eaf файл.</pre>",NEUT,NEUT

341,"Спасибо, Даша, можете кинуть ссылку на изначальные инструкции, чтобы мы поправили? прямо сейчас найти не могу",NEUT,PSTV

342,мы на семинаре все вместе его создавали под Вашим руководством,NEUT,PSTV

343,Подтверждаю,PSTV,PSTV

344,"поэтому и запутались, спасибо, что помогли разобраться)",NEUT,PSTV

345,"оййй, простите, что вас запутала",PSTV,PSTV

346,"Что делать, если я не могу отредактировать файл csv? Я работаю в Notepad++, он просто не ищет ту формулу, которая записана в конспекте",NEUT,PSTV

347,"Ира, смогу ответить на ваш вопрос после сегодняшних защит",NEUT,PSTV

348,Пока бросьте мне скриншот(ы) в личку,NEUT,NEUT

349,"подскажите, пожалуйста, &quot;!&quot; и &quot;?&quot; должны быть отдельными токенами или быть вместе с последним словом во фразе?",NEUT,PSTV

350,Отдельным,NEUT,NEUT

351,спасибо большое!,NEUT,NEUT

352,"еще вопрос: подскажите, пожалуйста, ссылку в таблице метаданных лучше поменять на репо лингдата или на папку лайвкорпус? (изначально я туда прикрепляла ссылку на репо лайвкорпус)",NEUT,PSTV

353,"Извините, а мы разве ! и ? не заменяем на // ?",NEUT,PSTV

354,"Добрый день, Зум для тех, кто в самоизоляции или хочет поделиться экраном, для сегодняшнего семинара в 16.20 у группы 203 Join Zoom Meeting<br><a href=""https://zoom.us/j/91438130468?pwd=ZjFGdHlObDZZZEFJMHIwd2J4blhGZz09"">https://zoom.us/j/91438130468?pwd=ZjFGdHlObDZZZEFJMHIwd2J4blhGZz09</a><br><br>Meeting ID: 914 3813 0468<br>Passcode: 95353Д9",NEUT,PSTV

355,"Ольга Николаевна, на странице курса на гитхабе ссылка на дз4 никуда не ведет, что-то не так или описания дз пока что нет?",NEUT,NEUT

356,"Добрый вечер, подскажите, пожалуйста, кому из консультантов можно задать вопрос по домашнему заданию?",NEUT,PSTV

357,"Добрый вечер, мне или <a href=""https://t.me/kattynatty"">@kattynatty</a>",NEUT,PSTV

358,"Добрый вечер, простите, что я не могла ответить на вопросы, заданные ранее, у нас сейчас параллельно идет несколько параллельных международных конференций, где мы выступаем со студентами и выпускниками, плюс два дня подряд мы плотно согласовывали темы курсовых и дипломов со старшими курсами.",NEUT,PSTV

359,"Сейчас я поправлю ссылку на дз по разметке. Думаю, будет разумно перенести дедлайны тем группам, у кого они близко, ждите информацию от ассистентов.",NEUT,PSTV

360,"Добрый вечер! Кажется, при оценке моего домашнего задания про заполнение таблицы Live-Corpus-2020 произошла ошибка. У меня стоит 7 и написано, что нет информации об интервьювере, хотя она есть. Я Алина Лобанова из 203 группы.",NEUT,PSTV

361,"Добрый день, Алина, пожалуйста, не пишите сюда вопросы по оценкам, в следующий раз пишите мне лично:)",NEUT,PSTV

362,"Скажите, пожалуйста, когда дедлайн по домашнему заданию у 204?",NEUT,PSTV

363,каким сокращением udpipe обозначает interjection?,NEUT,NEUT

364,INTJ,NEUT,NEUT

365,Можно узнать также дедлайн для 201 группы?,NEUT,PSTV

366,Всем добрый вечер!<br>Мы обновили дедлайны в таблице.,NEUT,PSTV

367,"Честно, говоря, не совсем поняла как она работает( у 204 в воскресенье или во вторник дедлайн?",NEUT,PSTV

368,"Дублирую сюда дедлайны, если кто-то не нашел или не понял.<br>201 группа: hw4 22.10<br>202 группа: hw4 22.10<br>203 группа: hw4 24.10 <br>204 группа: hw3 20.10, hw4 26.10",NEUT,PSTV

369,Спасибо!,NEUT,NEUT

370,"Что нужно сделать, чтобы udpipe воспринимал файл как формат conllu?",NEUT,NEUT

371,"Если у кого-то тоже будут проблемы с восприятием файла udpipe, проверьте количество табов и столбцов. У меня notepad лишние выставил до 1000 номера, чтобы выровнять",NEUT,NGTV

372,"ассистенты, помогите пожалуйста",NEUT,PSTV

373,"я не могу нормально обработать файл на  udpipe, он думает что запятые и числа это тоже части речи и ничего не полуячается",NEUT,PSTV

374,я смогла получить более менее нормальную таблицу только оставив в ней 1 столбец со словами,NEUT,PSTV

375,Я вам в личку напишу,NEUT,NEUT

376,"Добрый вечер, извините, а, если человек в видео называет какое-то английское название (группы, например), его нужно в расшифровке писать латиницей?",NEUT,PSTV

377,"Добрый вечер, можно латиницей",NEUT,PSTV

378,Спасибо!,NEUT,NEUT

379,"А если я &quot;инстаграм&quot; написала и вручную попровила на propn, все хорошо? Или мне стоит его по-английски записать? И как склонять тогда?",NEUT,NEUT

380,"<a href=""https://t.me/olesar"">@olesar</a>",NEUT,NEUT

381,"Подскажите, пожалуйста, порядок действий, чтобы экспортировать слои с токенами в файл tsv<br>Не очень понимаю, куда нажимать, в конспекте не нашла...",NEUT,PSTV

382,в верхней менюшке <code>file</code> → <code>export as</code> → <code>tab-delimited text</code>,NEUT,NEUT

383,"Это по-русски «текст с разделителями», да?",NEUT,NEUT

384,"извините, а как перевести данные в формат conllu?",NEUT,PSTV

385,"по идее да, это там 4-ое сверху",PSTV,PSTV

386,"это написано в пункте 2.2 <a href=""https://olesar.github.io/lingdata2020/practicum-tagging-parsing.html"">вот тут</a>",NEUT,NEUT

387,Там просто потом написано про «поля для экспорта» в коспекте <br>И я ничего похожего в выплывающем окошке не вижу...,NEUT,PSTV

388,"а можете мне в лс прислать скриншот, какое у вас выплывает окошко?",NEUT,PSTV

389,А слова типа &quot;потому что&quot; нужно было объединять в 1 токен или нет?,NEUT,NEUT

390,не надо,NEUT,NEUT

391,"Я бы считала, что инстаграм - освоенное слово, поэтому писать кириллицей не будет ошибкой. PROPN годится. И латиницей тоже норм",NEUT,PSTV

392,"Отвечаю сразу на несколько вопросов: <strong>пословный</strong> принцип разметки предполагает, что &quot;потому что&quot; - это два токена, каждому приписывается своя характеристика, сливать в один не надо",NEUT,NEUT

393,"В конспекте дано определение <strong>токена</strong> - это и слова, и числа, и запятые, и 🥐, и <code>₽&amp;*%</code>. Каждому токену даётся своя характеристика, например, PUNCT или SYM. Не игнорируйте их, пожалуйста, только потому что в школьном курсе вам давали стерильные примеры для разбора. Это важная часть информации и для лингвистической теории, и для it- технологий",NEUT,PSTV

394,"В том, записывать ли западные группы и проч. латиницей или кириллицей, - у вас полная свобода. <code>Фоур файв секондз</code> мне бы казалось перебором, а Пинк Флойд может уже и ничего",NEUT,PSTV

395,"А слова как «первый», «второй» считать прилагательными, числительными или по ситуации?",NEUT,NEUT

396,"Вы точно заметили, для категории числительных-прилагательных (они же порядковые числительные) нет отдельной метки в инвентаре UD. Но по грамматическому поведению они ближе к прилагательному. Ставьте ADJ. NUM оставьте только для количественных",NEUT,PSTV

397,"А что насчет слова «это» в разных контекстах(«ну, это, не знаю», «это хороший пример» или «это время было сложным»)? Оно везде считается местоимением или в некоторых можно ставить PART или ещё что-то?",NEUT,PSTV

398,"Отличное слово:)<br>PART: «ну, это, не знаю» - частица (еще примеры на частицу - &quot;Государство - это я&quot;, &quot;Это Вася во всем виноват&quot;), <br>PRON: «это хороший пример» - местоимение, подлежащее в данном контексте (еще пример - &quot;вижу это&quot;, &quot;я этого не знаю&quot;),<br>DET: «это время было сложным» - местоимение-прилагательное, согласуется с &quot;время&quot; (ср. также &quot;эта форма&quot;, &quot;эти соцсети&quot;)",NEUT,PSTV

399,"Еще один вопросик: слово &quot;который&quot; мне в разметке пометило в разных местах как DET, PRON и SCONJ, и что с ним делать...?",NEUT,NEUT

400,"<strong>который</strong> PRON. Это слово интересно тем, что синтаксически оно самостоятельно, а изменяется по падежам и согласуется - с чем-то, что стоит в главном предложении, то есть не совсем похоже на прилагательное. UD тут они ориентируется на параллелизм с другими языками (сравни _that_) и считает синтаксические свойства более важными. Но: в обычном атрибутивном употреблении типа &quot;который час&quot; должно быть DET",NEUT,PSTV

401,если мы не во все такие тонкости проникнем при исправлении это же не смертельно?,NEUT,PSTV

402,"Постепенно будем повышать мастерство, еще будет шанс поправить",PSTV,PSTV

403,"Спасибо большое за ответы<br>Простите, пожалуйста, за такое количество вопросов, но вот еще несколько:<br>1) В предложениях как «у нас нет времени» разметка настойчиво выделяет «нет» как verb, но это ведь не глагол? Но что это? <br>2) У слова «немножко» начальная форма «немного» или «немножко»? А у слова «позорище» — «позор» или «позорище»?",NEUT,PSTV

404,"<strong>нет</strong> тот самый предикатив, у которого нет отдельной метки. Оставьте как VERB,  хотя бы потому, что он имеет соотносительные сложные формы времени - &quot;не было&quot; и &quot;не будет&quot;",NEUT,NEUT

405,"<strong>диминутивы, аугментативы и прочее словообразование</strong> У &quot;немножко&quot; лемма &quot;немножко&quot;, у &quot;позорище&quot; - &quot;позорище&quot;. Тем более что &quot;позор&quot; мужского рода, а &quot;позорище&quot; - среднего.",NGTV,NGTV

406,а что делать со словами <br>какой-то?<br>у меня это определилось как det<br>кажется это должно быть местоименное прилагательное <br>что нужно записывать в столбец с падежами и остальным?,NEUT,NEUT

407,"DET это и есть местоимение-прилагательное, все правильно. Если часть речи определилась правильно, то набор категорий вам задан, проверьте только их значения",NEUT,NEUT

408,а быть может быть определен как aux в сочетании &quot;была отличницей&quot;?<br>или это только в аналитических конструкциях типа &quot;будет есть&quot;,NEUT,PSTV

409,"<strong>&quot;быть&quot;</strong> да, может, здесь быть употребляется как связка. Предлагаю автоматический выбор VERB и AUX не править, это не так принципиально",NEUT,PSTV

410,спасибо,NEUT,NEUT

411,"здравствуйте! можно ли в elan использовать кавычки, например, в названии группы?",NEUT,NEUT

412,"Здравствуйте, по некоторым техническим причинам лучше не надо",NEUT,PSTV

413,Спасибо!,NEUT,NEUT

414,"Подскажите, пожалуйста, у &quot;раньше&quot; лемма &quot;рано&quot; или &quot;раньше&quot;?",NEUT,PSTV

415,"Напомните, пожалуйста, что мы на семинаре решили насчет слова «самый»? Как его определять?",NEUT,NEUT

416,+ у кратких причастий типа «описан» начальная форма «отписанный» или «описать»? (Если синтаксически это сказуемое),NEUT,NEUT

417,"Если это сравнительная степень от &quot;рано&quot;, то &quot;рано&quot;. А в контексте &quot;раньше/выше мы писали, дальше/ниже мы увидим&quot; уже можно ставить &quot;раньше, выше, ниже, дальше&quot;",NEUT,NEUT

418,"&quot;описать&quot; + VERB + VerbForm=Part, если можно перефразировать во что-то вроде &quot;они описали исследование&quot;. Но  в полных формах в терминах и эпитетах &quot;описанная окружность&quot; , &quot;писаная красавица&quot; - описанный, писаный + АDJ",NEUT,PSTV

419,"А если встретился новый звательный падеж (&apos;мам,...&apos;), его стоит отмечать как Voc, или оставить лемму &apos;мам&apos; и Nom для формы слова?",NEUT,PSTV

420,Как корректно записывать леммы и части для слов типа «хомо сапиенса»? Их оба считать существительными?,NEUT,NEUT

421,как размечать слово &quot;спасибо&quot;?,NEUT,NEUT

422,"новый звательный - Voc, странно иметь его в одной клеточке парадигмы с начальной формой",NEUT,PSTV

423,А слова «например» и «вроде» — что это?,NEUT,NEUT

424,слово типа в контексте<br>&quot;ну типа я не знаю&quot; это частица?<br>и ещё может быть разбито на разные токены<br>и соответственно каждое из них определено как глагол <br>это нормально?,NEUT,PSTV

425,"Опять же, они входят в класс вводных слов, для которых в UD нет хорошей метки. Ставьте ADV (кстати, в лингвистике есть широкое понятие адвербиал, которое включает наречия и вводные слова)",NEUT,PSTV

426,"Да, они автоматом ставятся adv, просто это чуть-чуть смутило",NEUT,NGTV

427,Спасибо!!,NEUT,NEUT

428,"Типа - да, это бывшая форма родительного падежа, грамматикализовавшаяся как частица или предлог (&quot;типа лавочки&quot;, синоним - &quot;вроде&quot;)",NEUT,NEUT

429,"Подскажите, правильно ли будет: <br>Человек в интервью сказал «ль...», пытаясь сказать «люди», потом перестроил предложение так, что само слово «люди» появляется не сразу после «ль...» — тогда вот эту «ль...» все равно лемматизировать как «человек»?",NEUT,PSTV

430,"&quot;Может быть&quot; пишется с пробелом, значит, два токена, леммы &quot;мочь&quot; и &quot;быть&quot;. А вот &quot;мо&quot;, &quot;мобуть&quot;, &quot;мабыть&quot;, встречающиеся в соцсетях, это уже один токен:)",NEUT,PSTV

431,Ага,NEUT,NEUT

432,"А в словах вроде «раскопки», «(романтические) отношения» лемма во множественном или единственном числе?",NEUT,NEUT

433,"Можно и так, и так, теоретически. Лучше поискать в НКРЯ, <a href=""ruscorpora.ru"">ruscorpora.ru</a>, какая там практика. Ищите слово раскопки, в выдаче кликните на слово, чтобы увидеть его анализ",NEUT,PSTV

434,Корректна ли категория animacy по отношению к местоимениям? Или ее удалить совсем?,NEUT,PSTV

435,"&quot;Что&quot;, &quot;это&quot;, &quot;всё&quot; ведут себя как Animacy=Inan в выборе формы винительного падежа, а &quot;кто&quot; - как одушевленное",NEUT,NEUT

436,А aspect в русском языке как-то связан с видом глагола?,NEUT,NEUT

437,"Для &quot;он&quot; это плохо работает, окончание как в родительном, но обозначать может неодушевленное, там не ставим",NEUT,PSTV

438,"Aspect=Perf - совершенный вид (перфектив), Aspect=Imp - несовершенный вид (имперфектив). Область лингвистики, изучающая вид глагола, называется аспектология, от латинского (и затем английского) термина",NEUT,PSTV

439,"Спасибо <br>Просто хотела убедиться, что правильно понимаю терминологию",PSTV,PSTV

440,"Вы молодец, что уточняете:) ещё, кстати, можете освоить поиск по этим пометам в корпусах UD, ссылка была внизу файла, чтобы проверять свои гипотезы",NEUT,PSTV

441,"Здравствуйте! К сожалению, не нашла ответа выше в чате (может, плохо искала). 1. Нужно ли объединять двойной слэш в один токен? 2. Как поступать с длительностью двойного слэша? Должны ли для этого границы фраз быть вплотную друг к другу? Я оставила между фразами пустое место, предназначено ли оно для слэшей?",NEUT,PSTV

442,"Добрый день, слэши мы обсуждали на семинаре, но будет правильно написать здесь тоже. 1. Пусть будет два разных токена. 2. В ELAN в слое реплик слэши не должны образовать отдельной реплики, пауза есть пауза (отсутствие реплики), ставьте // в конце реплики со словами",NEUT,PSTV

443,"Тогда критично ли, что границы слов немного &quot;поедут&quot; из-за этих слэшей?",NEUT,NEUT

444,Насчет слов «тысяча» и «миллион» — это числительные или существительные?,NEUT,NEUT

445,"Границы слов для пользователей мультимедийных корпусов не так важны, как границы реплик. Только не меняйте временные метки в текстовых файлах с разделителями, чтобы мы эту разметку обратно импортировали в элан без проблем",NEUT,PSTV

446,Спасибо большое за ответы!,NEUT,NEUT

447,+ нужно ли помечать их как foreign=yes?,NEUT,NEUT

448,"Латиницу лучше да, то, что в кириллицей, в зависимости от освоенности в русском языке. Если есть падежные окончания, то тогда пишем полный разбор падежа, числа и тд",NEUT,PSTV

449,А в слове «хомо»?,NEUT,NEUT

450,Foreign=Yes можно поставить,NEUT,NEUT

451,а &quot;допустим&quot; как частицу размечать или оставить глаголом?,NEUT,NEUT

452,"Опять же, в теории, и так и так - хорошее решение. На практике, я бы в НКРЯ посмотрела, как у них",NEUT,PSTV

453,"Здравствуйте! <br><br>У меня говорящий в одной фразе сначала говорит, а потом переходит на смех. Нужно ли после #смеется# ставить // ?",NEUT,PSTV

454,Да,NEUT,NEUT

455,"Подскажите, в словосочетании «хочу, чтоб лежал» глагол «лежал» будет Ind или Cnd?",NEUT,PSTV

456,"Как отмечать слова как «можно» и «нужно»? Автоматом «можно» отмечает как наречие, а «нужно» как прилагательное, так и оставлять?",NEUT,NEUT

457,"Формально, показатель условного наклонения здесь выражен на &quot;чтоб&quot;, бывают также случаи, когда грамматическое значение  аналитической формы отличается от значения каждой составляющей. Но помните про пословный принцип. Здесь нужен Mood=Ind",NEUT,PSTV

458,"добрый день, если у меня говорящий сказал не то, потом себя исправил, надо указывать лемму? (у меня говорящий сначала сказал &quot;удивляете&quot; с обрывком, потом себя поправил и сказал &quot;уделяете&quot;)",NEUT,PSTV

459,"и если да, какую лемму писать? написано, что надо восстановить обрывки слова, если это возможно, но здесь можно интерпретировать слово &quot;удивляете&quot; как происходящее от слова &quot;удивлять&quot;, так и как испорченное &quot;уделять&quot;",NEUT,PSTV

460,"а если интервьюер слушает собеседника и издает смешок (не прям смеется, просто короткий), это надо как-то записывать, если он ничего при этом не говорит? типа *смеется*?",NEUT,PSTV

461,"&quot;Нужный&quot; существует, а *можный нет. отсюда разница. Оставьте как есть",NEUT,PSTV

462,"Интересный вопрос:) Лучше придерживаться буквальной интерпретации там, где форма полная (&quot;уделять&quot; во втором случае), а то мы далеко зайдем в интерпретации",NEUT,PSTV

463,"Ничего, разве только вы можете изобразить это междометием",PSTV,PSTV

464,"Хорошо, спасибо!",NEUT,NEUT

465,"Подскажите, верно, что я расставила мало знаков / в речи человека, если он хоть и вставляет периодически &apos;эээ&apos; в речь, но говорит очень равномерно, просто неторопливо<br>т е даже с запинками ритм фразы не сбивается",NEUT,PSTV

466,Бывают люди с разным темпом речи. В этом случае лишние / не нужны,NEUT,PSTV

467,"Не знаю, нужно это или нет (похоже не на той страничке с дз прочитала это), но я сделала слои с жестами и их описаниями. Удалить их или пусть будут?)",NEUT,PSTV

468,Если &quot;нет&quot; в контексте,NEUT,NEUT

469,"&quot;там нет террасы&quot; разметило глаголом, оставлять или на INTJ менять? Это аналог &quot;не есть&quot;?",NEUT,NEUT

470,Вот это про ваш вопрос,NEUT,NEUT

471,"<strong>нет</strong> тот самый предикатив, у которого нет отдельной метки. Оставьте как VERB,  хотя бы потому, что он имеет соотносительные сложные формы времени - &quot;не было&quot; и &quot;не будет&quot;",NEUT,NEUT

472,"Здравствуйте, у меня не получается начать автоматическое определение частей речи, можете пожалуйста сказать, что я делаю не так",NEUT,PSTV

473,"Какое у тебя расширение файла? У меня получилось  только с tsv, причём не с первого раза",NEUT,PSTV

474,у меня именно tsv,NEUT,NEUT

475,а вы пробовали вот так сделать?,NEUT,PSTV

476,"да, пробовала",PSTV,PSTV

477,спасибо!!,NEUT,NEUT

478,"а у тебя перед единицами нули есть?<br>(типа, 0001)",NEUT,NEUT

479,"нет, но мне уже помогли найти проблему: у меня в разметке были кавычки, и видимо, они все ломали",NEUT,PSTV

480,"Подскажите, пожалуйста: udpipe выдаёт ошибку, пробовал  так сделать, но программа ничего не заменяет. Что ещё попробовать?",NEUT,PSTV

481,"Можете скинуть мне в лс файл, я посмотрю",NEUT,PSTV

482,"здравствуйте! у меня есть лемма &quot;что-нибудь&quot;, нкря говорит, что это SPRO<br>однако я не припоминаю, чтобы мы такое использовали где-то, как эту часть речи обозначить надо?",NEUT,NEUT

483,"Добрый день,  здорово, что посмотрели в корпусе) Это PRON в нашем инвентаре.",NEUT,PSTV

484,спасибо!,NEUT,NEUT

